producto;origen;region;especie;variedad;altura_cultivos;ano_cosecha;puntuacion_sca;perfil;aroma;sabor;url
Café Sweet Blue;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;No disponible;No disponible;85;Achocolatado;Bayas y Frutos del Bosque;Limón;https://mareterracoffee.com/es/cafe-verde/sweet-blue_pro2471/
Café Matunda;Kenia;Nyeri;Arábica;Batian, Ruiru 11, SL 28 y SL 34;1.500-2.200 m.s.n.m;2023;85;Floral;Frutos con Hueso;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/matunda_pro1895/
Café Mare Red;Brasil;Minas Gerais;Arábica;No disponible;No disponible;No disponible;85;Afrutado;Frutos con Hueso;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/mare-red_pro3361/
Café Muka Kivu;Ruanda;Kizi Rift;Arábica;Bourbon Rojo;1.550-1.900 m.s.n.m;No disponible;85;Afrutado;Pasas;Fresa;https://mareterracoffee.com/es/cafe-verde/muka-kivu_pro3293/
Café Sweet Blue;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;No disponible;No disponible;85;Achocolatado;Bayas y Frutos del Bosque;Limón;https://mareterracoffee.com/es/cafe-verde/sweet-blue_pro2760/
Café Salomon;Etiopía;Sidama;Arábica;Heirloom;1.500-2.200 m.s.n.m;2022;84,75;Afrutado;Cítricos;Caramelo Claro;https://mareterracoffee.com/es/cafe-verde/salomon_pro1866/
Café Messier 41 FTV;Etiopía;Sidama;Arábica;Heirloom;No disponible;2022;84,5;Floral;Té Verde;Caramelo Claro;https://mareterracoffee.com/es/cafe-verde/messier-41-ftv_pro1770/
Café Bruzzi;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;84,25;Achocolatado;Frutos con Hueso;Avellana;https://mareterracoffee.com/es/cafe-verde/bruzzi_pro3227/
Café Bruzzi;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;84,25;Achocolatado;Frutos con Hueso;Avellana;https://mareterracoffee.com/es/cafe-verde/bruzzi_pro3215/
Café Eira Rua;Brasil;Campo das Vertentes;Arábica;Catuaí Amarillo, Catucaí Amarillo y Topázio;No disponible;No disponible;84,25;Achocolatado;Frutos Deshidratados;Jarabe de Arce y Piel de Naranja;https://mareterracoffee.com/es/cafe-verde/eira-rua_pro3281/
Café Abyssinia;Etiopía;Guji;Arábica;Heirloom;1.900-2.200 m.s.n.m;No disponible;84;Afrutado;Cereza Roja;Arándano;https://mareterracoffee.com/es/cafe-verde/abyssinia_pro3276/
Café Golden Huila;Colombia;Huila;Arábica;Castillo, Caturra y Colombia;1.200-1.800 m.s.n.m;2023;84;Achocolatado;Cítricos;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/golden-huila_pro2438/
Café Santa Colomba;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;No disponible;No disponible;84;Achocolatado;Caramelo Oscuro;Manzana;https://mareterracoffee.com/es/cafe-verde/santa-colomba_pro3228/
Café Abyssinia;Etiopía;Guji;Arábica;Heirloom;1.900-2.200 m.s.n.m;2023;84;Afrutado;Cereza Roja;Arándano;https://mareterracoffee.com/es/cafe-verde/abyssinia_pro2585/
Café Golden Huila;Colombia;Huila;Arábica;Castillo, Caturra y Colombia;1.200-1.800 m.s.n.m;No disponible;84;Achocolatado;Cítricos;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/golden-huila_pro2443/
Café La Cocha;Colombia;Nariño;Arábica;Castillo, Caturra, Colombia y Typica;1.600-2.300 m.s.n.m;No disponible;84;Afrutado;Melocotón Amarillo;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/la-cocha_pro3070/
Café Santa Colomba;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;No disponible;No disponible;84;Achocolatado;Caramelo Oscuro;Manzana;https://mareterracoffee.com/es/cafe-verde/santa-colomba_pro2765/
Café Salomon;Etiopía;Sidama;Arábica;Heirloom;1.500-2.200 m.s.n.m;2023;84;Afrutado;Cítricos;Caramelo Claro;https://mareterracoffee.com/es/cafe-verde/salomon_pro3073/
Café Coffcak;Indonesia;Sumatra – Central Aceh;Arábica;Catimor, Caturra y Typica;1.200-1.500 m.s.n.m;2023;84;Especiado;Especiados;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/coffcak_pro3029/
Café Sase Rodoo;Etiopía;Sidama;Arábica;Heirloom;1.500-2.200 m.s.n.m;No disponible;84;Afrutado;Manzana Roja;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/sase-rodoo_pro3277/
Café Sweet Blue;Brasil Daterra;Cerrado Mineiro;Arábica;Mundo Novo y Paraíso;1.150 m.s.n.m;No disponible;84;Achocolatado;Bayas y Frutos del Bosque;Limón;https://mareterracoffee.com/es/cafe-verde/sweet-blue_pro2478/
Café Sanjuanero;Colombia;Huila;Arábica;Castillo, Caturra y Colombia;No disponible;2023;83,5;Especiado;Canela;Albaricoque;https://mareterracoffee.com/es/cafe-verde/sanjuanero_pro2649/
Café Chabela;México;Chiapas;Arábica;Bourbon, Catimor, Garnica y Typica;1.100-1.300 m.s.n.m;2023;83,5;Especiado;Especiados;Canela;https://mareterracoffee.com/es/cafe-verde/chabela_pro1864/
Café Saturninus;El Salvador;Apaneca-Ilamatepec;Arábica;Catimor;1.200 m.s.n.m;2023;83,5;Achocolatado;Pasas de Arándano;Almendra;https://mareterracoffee.com/es/cafe-verde/saturninus_pro2816/
Café Oromo Citro;Etiopía;Yirgacheffe;Arábica;Heirloom;1.700-2.200 m.s.n.m;2022;83,5;Floral;Jazmín;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/oromo-citro_pro1543/
Café Bolomp’a;Honduras;Ocotepeque;Arábica;IHCAFE 90 y Lempira;No disponible;No disponible;83,25;Achocolatado;Hierbas Aromáticas;Chocolate con Leche;https://mareterracoffee.com/es/cafe-verde/bolompa_pro2968/
Café Chabela;México;Chiapas;Arábica;Bourbon, Catimor, Garnica y Typica;1.100-1.300 m.s.n.m;No disponible;83,25;Especiado;Especiados;Canela;https://mareterracoffee.com/es/cafe-verde/chabela_pro2388/
Café Don Alebrije;México;Chiapas;Arábica;Bourbon, Catimor, Garnica y Typica;1.100-1.300 m.s.n.m;2023;83;Especiado;Especiados;Canela;https://mareterracoffee.com/es/cafe-verde/don-alebrije_pro2390/
Café Eira Rua;Brasil;Alta Mogiana;Arábica;No disponible;No disponible;No disponible;83;Achocolatado;Frutos Deshidratados;Jarabe de Arce y Piel de Naranja;https://mareterracoffee.com/es/cafe-verde/eira-rua_pro3360/
Café Saqülew;Guatemala;Huehuetenango;Arábica;Bourbon, Catuaí y Caturra;No disponible;2023;83;Achocolatado;Crema de Avellana;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/saqulew_pro2741/
Café Tata Nahual;Guatemala;Acatenango;Arábica;Bourbon, Catuaí y Caturra;1.200-1.800 m.s.n.m;2023;83;Achocolatado;Frutos Amarillos;Limón;https://mareterracoffee.com/es/cafe-verde/tata-nahual_pro2738/
Café Tata Nahual;Guatemala;Acatenango;Arábica;Bourbon, Catuaí y Caturra;1.200-1.800 m.s.n.m;2023;83;Achocolatado;Frutos Amarillos;Nuez;https://mareterracoffee.com/es/cafe-verde/tata-nahual_pro2737/
Café Don Alebrije;México;Chiapas;Arábica;Bourbon, Catimor, Garnica y Typica;1.100-1.300 m.s.n.m;2023;83;Especiado;Especiados;Canela;https://mareterracoffee.com/es/cafe-verde/don-alebrije_pro1865/
Café Xarisma;Nicaragua;Nueva Segovia;Arábica;Catimor, Catuaí y Catuaí Rojo;1.200-1.300 m.s.n.m;2023;83;Achocolatado;Frutos con Hueso;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/xarisma_pro2747/
Café Añas Blues;Perú;Cajamarca;Arábica;No disponible;1.400-1.800 m.s.n.m;2023;83;Achocolatado;Cítricos;Mandarina;https://mareterracoffee.com/es/cafe-verde/anas-blues_pro3052/
Café Añas Blues;Perú;Cajamarca;Arábica;No disponible;1.400-1.800 m.s.n.m;2023;83;Achocolatado;Cítricos;Frutos amarillos;https://mareterracoffee.com/es/cafe-verde/anas-blues_pro2099/
Café Xarisma;Nicaragua;Nueva Segovia;Arábica;Catimor, Catuaí y Catuaí Rojo;1.200-1.300 m.s.n.m;2023;83;Achocolatado;Frutos con Hueso;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/xarisma_pro2902/
Café Golden Huila;Colombia;Huila;Arábica;Castillo, Caturra y Colombia;1.200-1.800 m.s.n.m;2023;83;Achocolatado;Cítricos;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/golden-huila_pro2439/
Café Balam;México;Chiapas;Arábica;No disponible;1.100-1.300 m.s.n.m;2023;82,5;Achocolatado;Especiados;Cacao;https://mareterracoffee.com/es/cafe-verde/balam_pro1859/
Café Copanti;Honduras;Copán;Arábica;Catuaí, Icatú, Lempira y Parainema;1.100-1.500 m.s.n.m;2023;82,5;Achocolatado;Frutos con Hueso;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/copanti_pro2698/
Café Sunrise;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;82,25;Achocolatado;Nuez;Avellana;https://mareterracoffee.com/es/cafe-verde/sunrise_pro3216/
Café Sunrise;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;82,25;Achocolatado;Nuez;Mazapán;https://mareterracoffee.com/es/cafe-verde/sunrise_pro2492/
Café Pearl;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;82;Achocolatado;Caramelos;Caramelo;https://mareterracoffee.com/es/cafe-verde/pearl_pro3206/
Café Pearl;Brasil Daterra;Cerrado Mineiro;Arábica;No disponible;1.150 m.s.n.m;No disponible;82;Achocolatado;Caramelos;Chocolate con leche;https://mareterracoffee.com/es/cafe-verde/pearl_pro3238/
Café Copanti;Honduras;Copán;Arábica;Catuaí, Icatú, Lempira y Parainema;1.100-1.500 m.s.n.m;No disponible;82;Achocolatado;Frutos con Hueso;Azúcar de Caña;https://mareterracoffee.com/es/cafe-verde/copanti_pro2736/
Café Saqülew;Guatemala;Huehuetenango;Arábica;Bourbon, Catuaí y Caturra;No disponible;2023;82;Achocolatado;Crema de Avellana;Chocolate Negro;https://mareterracoffee.com/es/cafe-verde/saqulew_pro2740/
Café Orgullo Catracho;Honduras;Copán;Arábica;Catuaí, Icatú, Lempira y Parainema;1.100-1.500 m.s.n.m;No disponible;81,75;Achocolatado;Frutos con Hueso;Mantequilla;https://mareterracoffee.com/es/cafe-verde/orgullo-catracho_pro2746/
Café Orgullo Catracho;Honduras;Copán;Arábica;Catuaí, Icatú, Lempira y Parainema;1.100-1.500 m.s.n.m;2023;81,75;Achocolatado;Frutos con Hueso;Caramelo;https://mareterracoffee.com/es/cafe-verde/orgullo-catracho_pro2990/
Café Monte Cristo;Brasil Daterra;Cerrado Mineiro;Arábica;Acaiá y Catuaí;1.150 m.s.n.m;2023-24;81,5;Achocolatado;Chocolate Negro;Caramelo;https://mareterracoffee.com/es/cafe-verde/monte-cristo_pro2490/
Café Monte Cristo;Brasil Daterra;Cerrado Mineiro;Arábica;Acaiá y Catuaí;1.150 m.s.n.m;2022-23;81,5;Achocolatado;Chocolate Negro;Nueces y Pasas de uva;https://mareterracoffee.com/es/cafe-verde/monte-cristo_pro2762/
Café Balam;México;Chiapas;Arábica;No disponible;1.100-1.300 m.s.n.m;2022;81;Achocolatado;Anuezados;Caramelo Oscuro;https://mareterracoffee.com/es/cafe-verde/balam_pro1858/
Café San Rafael;Brasil;Cerrado Mineiro;Arábica;Catuaí y Mundo Novo;800-1.300 m.s.n.m;No disponible;80,75;Achocolatado;Cacao;Cacao;https://mareterracoffee.com/es/cafe-verde/san-rafael_pro2998/
Café San Rafael;Brasil;Cerrado Mineiro;Arábica;Catuaí y Mundo Novo;800-1.300 m.s.n.m;No disponible;80,75;Achocolatado;Cacao;Frutos secos y Pasas de uva;https://mareterracoffee.com/es/cafe-verde/san-rafael_pro2604/
Café Pandi Melam;India;Kerala;Robusta;No disponible;No disponible;No disponible;No disponible;Achocolatado;Especiados;Nuez y Pan Tostado;https://mareterracoffee.com/es/cafe-verde/pandi-melam_pro3259/
